,English,English_human
962,dirichlet process,Dirichlet Process
963,disambiguation,disambiguation
964,discount factor,discount factor
965,discount parameter,discount parameter
966,discrete distribution,discrete distribution
967,discrete graphical model,discrete graphical model
968,discrete random variable,discrete random variable
969,discretization,discretization
970,discriminant analysis,discriminant analysis
971,discriminant function,discriminant function
972,discriminative,discriminative
973,discriminative approach,discriminative approach
974,discriminative feature,discriminative feature
975,discriminative method,discriminative method
976,discriminative model,discriminative model
977,discriminative training,discriminative training
978,discriminator,discriminator
979,discriminator network,discriminator network
980,disentangle,disentangle
981,disentangled representation,disentangled representation
982,disentanglement,Disentanglement
983,disparity estimation,disparity estimation
984,disparity map,disparity map
985,distance function,distance function
986,distance matrix,distance matrix
987,distance measure,distance measure
988,distance metric,distance metric
989,distance transform,distance transform
990,distant supervision,distant supervision
991,distillation,distillation
992,distributed information retrieval,distributed information retrieval
993,distribution shift,distribution shift
994,distribution vector,distribution vector
995,distributional,distributional
996,distributional feature,distributional feature
997,distributional hypothesis,distributional hypothesis
998,distributional model,distributional model
999,distributional representation,distributional representation
1000,distributional semantic,distributional semantic
1001,distributional semantic model,distributional semantic model
1002,distributional similarity,distributional similarity
1003,distributional word representation,distributional word representation
1004,distributionally robust optimization,distributionally robust optimization
1005,divergence operator,divergence operator
1006,diversity score,diversity score
1007,do-calculus,do-calculus
1008,document classification,document classification
1009,document clustering,document clustering
1010,document corpus,document corpus
1011,document retrieval,document retrieval
1012,document summarization,document summarization
1013,document vector,document vector
1014,document-level,document-level
1015,document-topic assignment,document-topic assignment
1016,domain adaptation,domain adaptation
1017,domain element,domain element
1018,domain gap,domain gap
1019,domain generalization,domain generalization
1020,domain knowledge,domain knowledge
1021,domain mismatch,domain mismatch
1022,domain ontology,domain ontology
1023,domain shift,domain shift
1024,domain transfer,domain transfer
1025,domain-specific,domain-specific
1026,dot product,dot product
1027,dot-product attention,dot-product attention
1028,down-sampling,down-sampling
1029,downsampling block,downsampling block
1030,downsampling factor,downsampling factor
1031,downsampling layer,downsampling layer
1032,downstream dataset,downstream dataset
1033,downstream model,downstream model
1034,downstream performance,downstream performance
1035,downstream task,downstream task
1036,dropout distribution,Dropout distribution
1037,dropout layer,dropout layer
1038,dropout probability,dropout probability
1039,dropout rate,dropout rate
1040,dropout ratio,dropout ratio
1041,dual decomposition,dual decomposition
1042,dual encoder model,dual encoder model
1043,dual norm,dual norm
1044,dual objective,dual objective
1045,dual optimization problem,dual optimization problem
1046,dual parameter,dual parameter
1047,dual problem,dual problem
1048,dual program,dual program
1049,dual solution,dual solution
1050,dual variable,dual variable
1051,duality gap,duality gap
1052,dynamic bayesian network,dynamic Bayesian network
1053,dynamic model,dynamic model
1054,dynamic programming algorithm,dynamic programming algorithm
1055,dynamical model,dynamical model
1056,dynamical system,dynamical system
1057,e-step,E-step
1058,early fusion,early fusion
1059,earth-mover distance,earth-mover distance
1060,edge detection,edge detection
1061,edge feature,edge feature
1062,edge label,edge label
1063,edge prediction,edge prediction
1064,edge set,edge set
1065,edge weight,edge weight
1066,edit distance,edit distance
1067,effective receptive field,effective receptive field
1068,ego-motion,ego-motion
1069,eigen-decomposition,eigen-decomposition
1070,eigenbasis,eigenbasis
1071,eigendecay,eigendecay
1072,eigenfunction,eigenfunction
1073,eigenspace,eigenspace
1074,eigenspectrum,eigenspectrum
1075,eigenvalue,eigenvalue
1076,eigenvalue decomposition,eigenvalue decomposition
1077,eigenvector,eigenvector
1078,elastic net regularization,elastic net regularization
1079,element-wise,element-wise
1080,element-wise multiplication,element-wise multiplication
1081,element-wise product,element-wise product
1082,elementary tree,elementary tree
1083,eligibility trace,eligibility trace
1084,embedded deformation graph,embedded deformation graph
1085,embedding dimension,embedding dimension
1086,embedding dimensionality,embedding dimensionality
1087,embedding feature,embedding feature
1088,embedding layer,embedding layer
1089,embedding matrix,embedding matrix
1090,embedding model,embedding model
1091,embedding parameter,embedding parameter
1092,embedding size,embedding size
1093,embedding space,embedding space
1094,embedding vector,embedding vector
1095,embodied agent,embodied agent
1096,emission probability,emission probability
1097,emotion classification,emotion classification
1098,empirical distribution,empirical distribution
1099,empirical estimate,empirical estimate
1100,empirical estimator,empirical estimator
1101,empirical frequency,empirical frequency
1102,empirical loss,empirical loss
1103,empirical mean,empirical mean
1104,empirical measure,empirical measure
1105,empirical minimizer,empirical minimizer
1106,empirical process theory,empirical process theory
1107,empirical risk,empirical risk
1108,empirical risk minimization,empirical risk minimization
1109,empirical risk minimizer,empirical risk minimizer
1110,empirical variance,empirical variance
1111,emulator,emulator
1112,encoder layer,encoder layer
1113,encoder model,encoder model
1114,encoder network,encoder network
1115,encoder-decoder architecture,encoder-decoder architecture
1116,encoder-decoder framework,encoder-decoder framework
1117,encoder-decoder model,encoder-decoder model
1118,end-of-sequence token,end-of-sequence token
1119,end-to-end learning,end-to-end learning
1120,end-to-end model,end-to-end model
1121,end-to-end neural model,end-to-end neural model
1122,end-to-end pipeline,end-to-end pipeline
1123,end-to-end system,end-to-end system
1124,end-to-end training,end-to-end training
1125,energy function,energy function
1126,energy minimization,energy minimization
1127,energy minimization framework,energy minimization framework
1128,energy minimization problem,energy minimization problem
1129,ensemble classification,ensemble classification
1130,ensemble classifier,ensemble classifier
1131,ensemble learning,ensemble learning
1132,ensemble method,ensemble method
1133,ensemble model,ensemble model
1134,ensemble of classifier,ensemble of classifier
1135,ensemble size,ensemble size
1136,entail,entail
1137,entailment,entailment
1138,entailment detection,entailment detection
1139,entity coreference,entity coreference
1140,entity description,entity description
1141,entity detection,entity detection
1142,entity embedding,entity embedding
1143,entity extraction,entity extraction
1144,entity linker,entity linker
1145,entity linking,Entity Linking
1146,entity mention,entity mention
1147,entity recognition,entity recognition
1148,entity representation,entity representation
1149,entity resolution,entity resolution
1150,entity set,entity set
1151,entity type,entity type
1152,entropy,entropy
1153,entropy estimation,entropy estimation
1154,entropy function,entropy function
1155,entropy loss,entropy loss
1156,entropy regularization,entropy regularization
1157,enumeration algorithm,enumeration algorithm
1158,envy-freeness,envy-freeness
1159,eos,eos
1160,epipolar constraint,epipolar constraint
1161,epipolar geometry,epipolar geometry
1162,epipolar line,epipolar line
1163,epipole,epipole
1164,episodic return,episodic return
1165,epistemic uncertainty,epistemic uncertainty
1166,epoch,epoch
1167,equivalence class,equivalence class
1168,equivalence query,equivalence query
1169,equivariance,equivariance
1170,equivariant,equivariant
1171,error,error
1172,error analysis,error analysis
1173,error function,error function
1174,error probability,error probability
1175,error rate,error rate
1176,error tolerance,error tolerance
1177,estimation error,estimation error
1178,estimator,estimator
1179,euclidean distance,Euclidean distance
1180,euclidean divergence,Euclidean divergence
1181,euclidean loss,Euclidean loss
1182,euclidean norm,Euclidean norm
1183,euclidean plane,Euclidean plane
1184,euclidean projection,Euclidean projection
1185,euclidean space,Euclidean space
1186,euclidean transformation,Euclidean transformation
1187,euler angle,Euler angle
1188,evaluation function,evaluation function
1189,evaluation metric,evaluation metric
1190,evaluation set,evaluation set
1191,event calculus,event calculus
1192,event coreference,event coreference
1193,event detection,event detection
1194,event extraction,event extraction
1195,evidence maximization,evidence maximization
1196,exact inference,exact inference
1197,exact match,Exact Match
1198,excess loss,excess loss
1199,exchangeability,exchangeability
1200,existential quantifier,existential quantifier
1201,expectation maximization,expectation maximization
1202,expectation maximization algorithm,expectation maximization algorithm
1203,experience replay,experience replay
1204,expert demonstration,expert demonstration
1205,explicit-state search,explicit-state search
1206,exploitability,exploitability
1207,exploration rate,exploration rate
1208,exploratory data analysis,exploratory data analysis
1209,exponential complexity,exponential complexity
1210,exponential decay,exponential decay
1211,exponential distribution,exponential distribution
1212,exponential family,exponential family
1213,exponential loss,exponential loss
1214,exponential map,exponential map
1215,exposure bias,exposure bias
1216,extensive-form game,extensive-form game
1217,extractive summarization,extractive summarization
1218,extractor,extractor
1219,f-divergence,f-divergence
1220,f-measure,F-measure
1221,f-score,F-score
1222,f1 measure,F1 measure
1223,f1 metric,F1 metric
1224,f1 score,F1 score
1225,face detection,face detection
1226,face detector,face detector
1227,face recognition,face recognition
1228,facial landmark,facial landmark
1229,facial recognition,facial recognition
1230,fact verification,fact verification
1231,factor analysis,factor analysis
1232,factor graph,factor graph
1233,factor matrix,factor matrix
1234,factor of variation,factor of variation
1235,factorization,factorization
1236,factorization algorithm,factorization algorithm
1237,factorization method,factorization method
1238,failure probability,failure probability
1239,fairness criterion,fairness criterion
1240,fairness loss,fairness loss
1241,fairness notion,fairness notion
1242,faithfulness score,faithfulness score
1243,false negative,false negative
1244,false negative rate,false negative rate
1245,false positive rate,false positive rate
1246,fanout,fanout
1247,fast fourier transform,Fast Fourier Transform
1248,fc layer,fc layer
1249,feasible set,feasible set
1250,feature,feature
1251,feature channel,feature channel
1252,feature correspondence,feature correspondence
1253,feature count,feature count
1254,feature descriptor,feature descriptor
1255,feature detection,feature detection
1256,feature detector,feature detector
1257,feature dimension,feature dimension
1258,feature dimensionality,feature dimensionality
1259,feature embedding,feature embedding
1260,feature encoder,feature encoder
1261,feature engineering,feature engineering
1262,feature extraction,feature extraction
1263,feature extractor,feature extractor
1264,feature function,feature function
1265,feature hashing,feature hashing
1266,feature hierarchy,feature hierarchy
1267,feature map,feature map
1268,feature mapping function,feature mapping function
1269,feature matching,feature matching
1270,feature matrix,feature matrix
1271,feature model,feature model
1272,feature normalization,feature normalization
1273,feature point,feature point
1274,feature pyramid,feature pyramid
1275,feature representation,feature representation
1276,feature representation learning,feature representation learning
1277,feature selection,feature selection
1278,feature selector,feature selector
1279,feature set,feature set
1280,feature space,feature space
1281,feature template,feature template
1282,feature vector,feature vector
1283,feature weight,feature weight
1284,featurization,featurization
1285,featurized representation,featurized representation
1286,feed forward,feed forward
1287,feed forward network,feed forward network
1288,feed forward neural network,feed forward neural network
1289,feed-forward layer,feed-forward layer
1290,feedback loop,feedback loop
1291,few shot learning,few shot learning
1292,few-shot classification,few-shot classification
1293,few-shot example,few-shot example
1294,few-shot fine-tuning,few-shot fine-tuning
1295,few-shot in-context learning,few-shot in-context learning
1296,few-shot prompting,few-shot prompting
1297,few-shot setting,few-shot setting
1298,filter bank,filter bank
1299,filter weight,filter weight
1300,fine-grained sentiment classification,fine-grained sentiment classification
1301,fine-tune,fine-tune
1302,finite horizon,finite horizon
1303,finite-state automata,finite-state automata
1304,first order method,first order method
1305,first-order,first-order
1306,first-order language,first-order language
1307,first-order logic,first-order logic
1308,first-order model,first-order model
1309,first-order parsing,first-order parsing
1310,fisher information matrix,Fisher information matrix
1311,fisher score,Fisher score
1312,fitness function,fitness function
1313,five-fold cross-validation,five-fold cross-validation
1314,fixed point,fixed point
1315,fixed-parameter tractable,fixed-parameter tractable
1316,fixed-point iteration,fixed-point iteration
1317,fixpoint,fixpoint
1318,float16,float16
1319,float32,float32
1320,flow field,flow field
1321,flow model,flow model
1322,focal loss,Focal Loss
1323,forall,forall
1324,forecasting,forecasting
1325,foreground segmentation,foreground segmentation
1326,forget gate,forget gate
1327,forward algorithm,forward algorithm
1328,forward model,forward model
1329,forward pass,forward pass
1330,forward process,forward process
1331,forward propagation,forward propagation
1332,forward-backward algorithm,forward-backward algorithm
1333,foundation model,foundation model
1334,fourier coefficient,Fourier coefficient
1335,fourier feature,Fourier feature
1336,fourier frequency,Fourier frequency
1337,fp,fp
1338,fp16,fp16
1339,fp32,fp32
1340,fractional program,fractional program
1341,frame,frame
1342,free variable,free variable
1343,frequency penalty,frequency penalty
1344,frequency vector,frequency vector
1345,frequent item set,frequent item set
1346,frequent pattern,frequent pattern
1347,frequent pattern mining,frequent pattern mining
1348,fully connected network,fully connected network
1349,fully convolutional network,fully convolutional network
1350,fully convolutional neural network,fully convolutional neural network
1351,function approximation,function approximation
1352,function approximator,function approximator
1353,function class,function class
1354,function space,function space
1355,functionality assertion,functionality assertion
1356,fundamental matrix,fundamental matrix
1357,fusion module,fusion module
1358,fuzzy matching,fuzzy matching
1359,g-value,g-value
1360,game tree,game tree
1361,game-theoretic analysis,game-theoretic analysis
1362,gamma distribution,gamma distribution
1363,gate,gate
1364,gating function,gating function
1365,gaussian blur,Gaussian blur
1366,gaussian complexity,Gaussian complexity
1367,gaussian component,Gaussian component
1368,gaussian conditional random field,Gaussian conditional random field
1369,gaussian density,Gaussian density
1370,gaussian distribution,Gaussian distribution
1371,gaussian elimination,Gaussian elimination
1372,gaussian filter,Gaussian filter
1373,gaussian function,Gaussian function
1374,gaussian initialization,Gaussian initialization
1375,gaussian kernel,Gaussian kernel
1376,gaussian likelihood,Gaussian likelihood
1377,gaussian matrix,Gaussian matrix
1378,gaussian mixture,Gaussian mixture
1379,gaussian model,Gaussian model
1380,gaussian noise,Gaussian noise
1381,gaussian prior,Gaussian prior
1382,gaussian process,Gaussian process
1383,gaussian process model,Gaussian process model
1384,gaussian process regression,Gaussian process regression
1385,gaussian random variable,Gaussian random variable
1386,gaussian smoothing,Gaussian smoothing
1387,gaussian variable,Gaussian variable
1388,gaussian weight,Gaussian weight
1389,gene ontology,Gene Ontology
1390,generalisation,generalisation
1391,generalization,generalization
1392,generalization ability,generalization ability
1393,generalization error,generalization error
1394,generalization gap,generalization gap
1395,generalization guarantee,generalization guarantee
1396,generalization performance,generalization performance
1397,generalized eigenvector,generalized eigenvector
1398,generalized linear mixed model,generalized linear mixed model
1399,generalized linear model,generalized linear model
1400,generation model,generation model
1401,generative,generative
1402,generative adversarial network,generative adversarial network
1403,generative approach,generative approach
1404,generative network,generative network
1405,generative parser,generative parser
1406,generative pre-training,generative pre-training
1407,generative probabilistic model,generative probabilistic model
1408,generative process,generative process
1409,generator,generator
1410,generator architecture,generator architecture
1411,generator network,generator network
1412,genetic algorithm,genetic algorithm
1413,geodesic,geodesic
1414,geodesic distance,geodesic distance
1415,geometric consistency,geometric consistency
1416,geometric distribution,geometric distribution
1417,geometric invariant,geometric invariant
1418,geometric transformation,geometric transformation
1419,geometry processing,geometry processing
1420,gibb distribution,gibb distribution
1421,gini coefficient,Gini coefficient
1422,gist descriptor,gist descriptor
1423,global average pooling,global average pooling
1424,global average pooling layer,global average pooling layer
1425,global coordinate frame,global coordinate frame
1426,global illumination,global illumination
1427,global minima,global minima
1428,global minimum,global minimum
1429,global model,global model
1430,global objective,global objective
1431,global optima,global optima
1432,global optimization,global optimization
1433,global optimum,global optimum
1434,global pooling,global pooling
1435,global reward,global reward
1436,goal state,goal state
1437,gold label,gold label
1438,gold parse,gold parse
1439,good-turing estimate,Good-Turing estimate
1440,gossip algorithm,gossip algorithm
1441,gradient accumulation,gradient accumulation
1442,gradient accumulation step,gradient accumulation step
1443,gradient ascent,gradient ascent
1444,gradient clipping,gradient clipping
1445,gradient computation,gradient computation
1446,gradient descent,gradient descent
1447,gradient descent algorithm,gradient descent algorithm
1448,gradient estimate,gradient estimate
1449,gradient estimation,gradient estimation
1450,gradient estimator,gradient estimator
1451,gradient explosion,gradient explosion
1452,gradient flow,gradient flow
1453,gradient information,gradient information
1454,gradient method,gradient method
1455,gradient norm,gradient norm
1456,gradient operator,gradient operator
1457,gradient penalty,gradient penalty
1458,gradient signal,gradient signal
1459,gradient step,gradient step
1460,gradient term,gradient term
1461,gradient update,gradient update
1462,gradient variance,gradient variance
1463,gradient vector,gradient vector
1464,gram matrix,Gram matrix
1465,grammar inducer,grammar inducer
1466,grammar induction,grammar induction
1467,grammatical error detection,grammatical error detection
1468,grandparent dependency,grandparent dependency
1469,graph adjacency matrix,graph adjacency matrix
1470,graph attention,graph attention
1471,graph attention mechanism,graph attention mechanism
1472,graph attention network,graph attention network
1473,graph classification,graph classification
1474,graph clustering,graph clustering
1475,graph construction,graph construction
1476,graph contrastive learning,graph contrastive learning
1477,graph convolution,graph convolution
1478,graph convolution network,graph convolution network
1479,graph convolutional network,graph convolutional network
1480,graph cut,graph cut
1481,graph cut algorithm,graph cut algorithm
1482,graph dataset,graph dataset
1483,graph datum,graph datum
1484,graph diameter,graph diameter
1485,graph embedding,graph embedding
1486,graph generator,graph generator
1487,graph isomorphism,graph isomorphism
1488,graph kernel,graph kernel
1489,graph laplacian matrix,graph Laplacian matrix
1490,graph learning,graph learning
1491,graph matching,graph matching
1492,graph mining,graph mining
1493,graph model,graph model
1494,graph neural network,graph neural network
1495,graph node,graph node
1496,graph partitioning,graph partitioning
1497,graph pattern,graph pattern
1498,graph representation,graph representation
1499,graph sampling,graph sampling
1500,graph structure,graph structure
1501,graph theory,graph theory
1502,graph topology,graph topology
1503,graph traversal,graph traversal
1504,graph-level task,graph-level task
1505,graphical model,graphical model
1506,graphlet,graphlet
1507,graphlet kernel,graphlet kernel
1508,greedy,greedy
1509,greedy algorithm,greedy algorithm
1510,greedy approach,greedy approach
1511,greedy decoding,greedy decoding
1512,greedy inference,greedy inference
1513,greedy maximization,greedy maximization
1514,greedy method,greedy method
1515,greedy optimization,greedy optimization
1516,greedy policy,greedy policy
1517,greedy search,greedy search
1518,greedy strategy,greedy strategy
1519,grid cell,grid cell
1520,grid search,grid search
1521,grid-world,grid-world
1522,ground atom,ground atom
1523,ground set,ground set
1524,ground truth label,ground truth label
1525,ground-truth box,ground-truth box
1526,grounded language learning,grounded language learning
1527,grounded supervision,grounded supervision
1528,group normalization,group normalization
1529,group sparsity,group sparsity
1530,gumbel noise,Gumbel noise
1531,half-space,half-space
1532,hamming distance,Hamming distance
1533,hamming loss,Hamming loss
1534,hand pose estimation,hand pose estimation
1535,hard attention,hard attention
1536,hash,hash
1537,hash function,hash function
1538,hash table,hash table
1539,hashing algorithm,hashing algorithm
1540,hate speech classifier,hate speech classifier
1541,hate speech detection,hate speech detection
1542,head entity,head entity
1543,head word,head word
1544,heap structure,heap structure
1545,heatmap,heatmap
1546,hedge algorithm,Hedge algorithm
1547,hessian matrix,Hessian matrix
1548,hessian-vector product,Hessian-vector product
1549,heuristic algorithm,heuristic algorithm
1550,heuristic function,heuristic function
1551,heuristic search,heuristic search
1552,heuristic search algorithm,heuristic search algorithm
1553,heuristic value,heuristic value
1554,hidden dimension,hidden dimension
1555,hidden dimension size,hidden dimension size
1556,hidden dimensionality,hidden dimensionality
1557,hidden embedding,hidden embedding
1558,hidden feature,hidden feature
1559,hidden layer,hidden layer
1560,hidden representation,hidden representation
1561,hidden size,hidden size
1562,hidden state,hidden state
1563,hidden state dimension,hidden state dimension
1564,hidden state representation,hidden state representation
1565,hidden state vector,hidden state vector
1566,hidden unit,hidden unit
1567,hidden variable,hidden variable
1568,hierarchical agglomerative clustering,hierarchical agglomerative clustering
1569,hierarchical clustering,hierarchical clustering
1570,hierarchical decoder,hierarchical decoder
1571,hierarchical feature,hierarchical feature
1572,hierarchical inference,hierarchical inference
1573,hierarchical method,hierarchical method
1574,hierarchical model,hierarchical model
1575,hierarchical reinforcement learning,hierarchical reinforcement learning
1576,hierarchical representation,hierarchical representation
1577,hierarchical structure,hierarchical structure
1578,hierarchical topic model,hierarchical topic model
1579,hierarchy,hierarchy
1580,high-dimensional datum,high-dimensional datum
1581,high-dimensional space,high-dimensional space
1582,high-dimensionality,high-dimensionality
1583,hill-climbing,hill-climbing
1584,hinge loss,hinge loss
1585,hinge loss function,hinge loss function
1586,homogeneous coordinate,homogeneous coordinate
1587,homographie,homographie
1588,homography,Homography
1589,homography matrix,homography matrix
1590,homomorphism,homomorphism
1591,horn theory,Horn theory
1592,huber loss,Huber loss
1593,human annotation,human annotation
1594,human pose,human pose
1595,human pose estimation,human pose estimation
1596,human-computer interaction,human-computer interaction
1597,human-in-the-loop,human-in-the-loop
1598,human-machine interaction,human-machine interaction
1599,hungarian loss,Hungarian loss
1600,hybrid model,hybrid model
1601,hyper-graph,hyper-graph
1602,hyper-parameter tuning,hyper-parameter tuning
1603,hyperband,Hyperband
1604,hyperbolic space,hyperbolic space
1605,hyperedge,hyperedge
1606,hypernym,hypernym
1607,hypernymy,hypernymy
1608,hyperparameter optimization,hyperparameter optimization
1609,hyperparameter search,Hyperparameter search
1610,hyperparameter selection,hyperparameter selection
1611,hyperparameter setting,hyperparameter setting
1612,hyperparameter space,hyperparameter space
1613,hyperplane,hyperplane
1614,hyperprior,hyperprior
1615,hyponym,hyponym
1616,hyponymy,hyponymy
1617,hypothesis class,hypothesis class
1618,hypothesis set,hypothesis set
1619,hypothesis space,hypothesis space
1620,hypothesis test,hypothesis test
1621,i.i.d,i.i.d
1622,i.i.d. sample,i.i.d. sample
1623,idempotent,idempotent
1624,identity function,identity function
1625,identity mapping,identity mapping
1626,identity matrix,identity matrix
1627,identity transformation,identity transformation
1628,image analysis,image analysis
1629,image captioning,image captioning
1630,image classification,image classification
1631,image compression,image compression
1632,image diffusion model,image diffusion model
1633,image embedding,image embedding
1634,image encoder,image encoder
1635,image feature,image feature
1636,image generation,image generation
1637,image inpainting,image inpainting
1638,image patch,image patch
1639,image plane,image plane
1640,image processing,image processing
1641,image pyramid,image pyramid
1642,image recognition,image recognition
1643,image representation,image representation
1644,image restoration,image restoration
1645,image segmentation,image segmentation
1646,image super-resolution,image super-resolution
1647,image synthesis,image synthesis
1648,image translation,image translation
1649,image-text pre-training,image-text pre-training
1650,image-to-image translation,image-to-image translation
1651,imitation learning,imitation learning
1652,immediate consequence operator,immediate consequence operator
1653,imperfect information,imperfect information
1654,implicit differentiation,implicit differentiation
1655,implicit function,implicit function
1656,implicit representation,implicit representation
1657,implicit surface,implicit surface
1658,importance sampling,importance sampling
1659,importance sampling estimator,importance sampling estimator
1660,importance weight,importance weight
1661,in-context demonstration,in-context demonstration
1662,in-context example,in-context example
1663,in-context learner,in-context learner
1664,in-context learning,In-context Learning
1665,in-degree distribution,in-degree distribution
1666,in-distribution,in-distribution
1667,in-domain,in-domain
1668,in-domain text,in-domain text
1669,in-neighbor,in-neighbor
1670,in-order traversal,in-order traversal
1671,inception score,inception score
1672,incremental learning,incremental learning
1673,incremental parsing,incremental parsing
1674,independent component analysis,independent component analysis
1675,independent set,independent set
1676,independent variable,independent variable
1677,indicator matrix,indicator matrix
1678,indicator variable,indicator variable
1679,indicator vector,indicator vector
1680,induction hypothesis,induction hypothesis
1681,inductive bias,inductive bias
1682,inductive learning,inductive learning
1683,inf,inf
1684,inference,inference
1685,inference algorithm,inference algorithm
1686,inference machinery,inference machinery
1687,inference method,inference method
1688,inference problem,inference problem
1689,inference procedure,inference procedure
1690,inference process,inference process
1691,inference rule,inference rule
1692,inference stage,inference stage
1693,inference task,inference task
1694,inference time,inference time
1695,infinite-horizon,infinite-horizon
1696,influence diagram,influence diagram
1697,influence function,influence function
1698,influence maximization,Influence Maximization
1699,information bottleneck,information bottleneck
1700,information content,information content
1701,information extraction,Information Extraction
1702,information gain,information gain
1703,information retrieval system,information retrieval system
1704,information set,information set
1705,information theoretic,information theoretic
1706,information theoretic measure,information theoretic measure
1707,informer model,Informer model
1708,infoset,infoset
1709,initial distribution,initial distribution
1710,initial state,initial state
1711,initial state distribution,initial state distribution
1712,initialization,initialization
1713,injective function,injective function
1714,inlier,inlier
1715,inner layer,inner layer
1716,inner loop,inner loop
1717,inner node,inner node
1718,inner product,inner product
1719,input context,input context
1720,input datum,input datum
1721,input embedding,input embedding
1722,input feature,input feature
1723,input feature vector,input feature vector
1724,input filter,input filter
1725,input formula,input formula
1726,input gate,input gate
1727,input graph,input graph
1728,input image,input image
1729,input layer,input layer
1730,input length,input length
1731,input matrix,input matrix
1732,input point,input point
1733,input position,input position
1734,input representation,input representation
1735,input resolution,input resolution
1736,input sequence,input sequence
1737,input space,input space
1738,input tensor,input tensor
1739,input text,input text
1740,input token,input token
1741,input vector,input vector
1742,input-output pair,input-output pair
1743,instance,instance
1744,instance level,instance level
1745,instance normalization,Instance Normalization
1746,instance segmentation,instance segmentation
1747,instance selection,instance selection
1748,instance space,instance space
1749,instruction tuning,instruction tuning
1750,integer linear program,integer linear program
1751,integer program,integer program
1752,integral image,integral image
1753,integral operator,integral operator
1754,integral probability metric,integral probability metric
1755,integrity constraint,integrity constraint
1756,intelligent agent,intelligent agent
1757,intensity function,intensity function
1758,intent,intent
1759,inter-annotator agreement,inter-annotator agreement
1760,interaction matrix,interaction matrix
1761,interest point,interest point
1762,interior point method,interior point method
1763,intermediate layer,intermediate layer
1764,intermediate representation,intermediate representation
1765,internal edge,internal edge
1766,internal node,internal node
1767,internal regret,internal regret
1768,internal representation,internal representation
1769,internal state,internal state
1770,interpolation,interpolation
1771,interpretability,interpretability
1772,interpretation function,interpretation function
1773,intersection-over-union,intersection-over-union
1774,interval estimate,interval estimate
1775,intractability,intractability
1776,intrinsic,intrinsic
1777,intrinsic camera parameter,intrinsic camera parameter
1778,intrinsic dimension subspace,intrinsic dimension subspace
1779,intrinsic dimensionality,intrinsic dimensionality
1780,intrinsic evaluation,intrinsic evaluation
1781,intrinsic image,intrinsic image
1782,intrinsic parameter,intrinsic parameter
1783,inverse document frequency,inverse document frequency
1784,inverse dynamic model,inverse dynamic model
1785,inverse problem,inverse problem
1786,inverse reinforcement learning,inverse reinforcement learning
1787,inverse rendering,inverse rendering
1788,inverse role,inverse role
1789,inverse square root learning rate schedule,inverse square root learning rate schedule
1790,inverse square root learning rate scheduler,inverse square root learning rate scheduler
1791,inverse transform sampling,inverse transform sampling
1792,invertible map,invertible map
1793,invertible matrix,invertible matrix
1794,iobj,iobj
1795,iso-surface extraction,iso-surface extraction
1796,itemset,itemset
1797,iterate,iterate
1798,iteration,iteration
1799,iteration complexity,iteration complexity
1800,iteration counter,iteration counter
1801,iterative algorithm,iterative algorithm
1802,iterative deepening,iterative deepening
1803,iterative optimization,iterative optimization
1804,iterative optimization algorithm,iterative optimization algorithm
1805,iterative training algorithm,iterative training algorithm
1806,jaccard similarity,Jaccard similarity
1807,jaccard similarity coefficient,Jaccard similarity coefficient
1808,jacobian matrix,Jacobian matrix
1809,joint density,joint density
1810,joint distribution,joint distribution
1811,joint embedding space,joint embedding space
1812,joint encoding,joint encoding
1813,joint entropy,joint entropy
1814,joint inference,joint inference
1815,joint learning,joint learning
1816,joint learning algorithm,joint learning algorithm
1817,joint likelihood,joint likelihood
1818,joint model,joint model
1819,joint policy,joint policy
1820,joint probability,joint probability
1821,joint probability distribution,joint probability distribution
1822,joint probability matrix,joint probability matrix
1823,joint probability table,joint probability table
1824,joint semantic space,joint semantic space
1825,junction tree,junction tree
1826,junction tree algorithm,junction tree algorithm
1827,k-center,k-Center
1828,k-d tree,k-d tree
1829,k-hop neighbor,k-hop neighbor
1830,k-l divergence,K-L divergence
1831,k-means clustering algorithm,k-means clustering algorithm
1832,k-nearest neighbor,k-nearest neighbor
1833,k-nearest neighbor classifier,k-nearest neighbor classifier
1834,k-nearest neighbor graph,k-nearest neighbor graph
1835,kernel,Kernel
1836,kernel approximation,kernel approximation
1837,kernel bandwidth,kernel bandwidth
1838,kernel classifier,kernel classifier
1839,kernel density,kernel density
1840,kernel density estimate,kernel density estimate
1841,kernel density estimation,kernel density estimation
1842,kernel evaluation,kernel evaluation
1843,kernel function,kernel function
1844,kernel learning,kernel learning
1845,kernel learning problem,kernel learning problem
1846,kernel machine,kernel machine
1847,kernel matrix,kernel matrix
1848,kernel method,kernel method
1849,kernel operation,kernel operation
1850,kernel operator,kernel operator
1851,kernel parameter,kernel parameter
1852,kernel regression,kernel regression
1853,kernel ridge regression,kernel ridge regression
1854,kernel size,kernel size
1855,kernel smoothing,kernel smoothing
1856,kernel space,kernel space
1857,kernel spectrum,kernel spectrum
1858,kernel trick,kernel trick
1859,kernel value,kernel value
1860,kernel weight,kernel weight
1861,kernel width,kernel width
1862,key,key
1863,keypoint,keypoint
1864,keypoint detection,keypoint detection
1865,keypoint detector,keypoint detector
1866,keypoint location,keypoint location
1867,keypoint match,keypoint match
1868,knapsack problem,knapsack problem
1869,knowledge compilation,knowledge compilation
1870,knowledge distillation,knowledge distillation
1871,knowledge element,knowledge element
